1/2/2013,Tchoupitoulas Exit & US90B E
1/2/2013,S Claiborne Ave & Robert St
1/2/2013,Gravier St & Tchoupitoulas St
1/4/2013,S Broad St & Tulane Ave
1/4/2013,6100 West End Blvd
1/4/2013,N Claiborne Ave & Saint Philip S
1/5/2013,5900 West End Blvd
1/5/2013,S Claiborne Ave & Napoleon Ave
1/5/2013,Bayou Sauvage & I-10
1/5/2013,Brutus St & Warrington Dr
1/6/2013,Florida Blvd & Rosemary Pl
1/6/2013,Elysian Fields Ave & Treasure St
1/6/2013,Canal St & Carondelet St
1/7/2013,Chef Menteur Hwy & I-510 N
1/9/2013,3600 Earhart Blvd
1/10/2013,600 Robert E Lee Blvd
1/10/2013,Calliope St & Carondelet St
1/11/2013,Calliope St & Carondelet St
1/11/2013,N Broad St & Esplanade Ave
1/12/2013,Jefferson Ave & Tchoupitoulas St
1/15/2013,Canal St & N Claiborne Ave
1/16/2013,900 N Rampart St
1/17/2013,Esplanade Ave & N Villere St
1/17/2013,Dauphine St & Saint Louis St
1/17/2013,6200 West End Blvd
1/18/2013,Annunciation St & Jefferson Ave
1/18/2013,1000 Tchoupitoulas St
1/19/2013,7500 Seabrook Pl
1/19/2013,X US90B W
1/19/2013,Elysian Fields Ave & I-10 W
1/19/2013,Canal St & S Jefferson Davis Pkw
1/20/2013,Gentilly Blvd & Norman Mayer Ave
1/20/2013,Harrison Ave & Marconi Dr
1/22/2013,Annunciation St & General Pershi
1/22/2013,2700 Tulane Ave
1/22/2013,200 N Broad St
1/23/2013,Veterans Blvd & West End Blvd
1/23/2013,4600 Chef Menteur Hwy
1/25/2013,Polk Ave & West End Blvd
1/25/2013,Dauphine St & Independence St
1/26/2013,1400 Canal St
1/26/2013,Dufossat St & Tchoupitoulas St
1/26/2013,Paris Ave & Saint Denis St
1/27/2013,I-10 E & Louisa St Onramp
1/27/2013,St Charles Exit & US90B W
1/27/2013,Common St & Saint Charles Ave
1/27/2013,S Claiborne Ave & Martin Luther
1/28/2013,Joseph St & Tchoupitoulas St
1/28/2013,Chef Menteur Hwy & I-10 E
1/29/2013,6100 West End Blvd
1/31/2013,I-610 E & West End Blvd
1/31/2013,Polk Ave & West End Blvd
1/31/2013,I-610 E & West End Blvd
2/1/2013,S Carrollton Ave & Pritchard Pl
2/1/2013,Camp St & Poydras St
2/1/2013,S Claiborne Ave & Washington Ave
2/2/2013,1400 Broadway St
2/2/2013,Chef Menteur Hwy & Louisa Dr
2/2/2013,Conti St & N Jefferson Davis Pkw
2/3/2013,S Carrollton Ave & Willow St
2/3/2013,S Carrollton Ave & I-10 W
2/3/2013,Napoleon Ave & Saint Charles Ave
2/3/2013,800 Harrison Ave
2/3/2013,Broadway St & S Claiborne Ave
2/4/2013,Canal St & Elk Pl
2/4/2013,Canal St & S Derbigny St
2/4/2013,S Carrollton Ave & Oleander St
2/4/2013,Audubon Park Entranc & Saint Cha
2/5/2013,3600 General De Gaulle Dr
2/6/2013,Dublin St & Palmetto St
2/6/2013,Canal St & Saint Charles Ave
2/7/2013,Baccich St & Frankfort St
2/7/2013,4100 S Claiborne Ave
2/8/2013,Columbus St & N Villere St
2/9/2013,400 City Park Ave
2/10/2013,1700 S Carrollton Ave
2/10/2013,Exposition Blvd & Tchoupitoulas
2/10/2013,Broadway St & Fontainebleau Dr
2/10/2013,Audubon Blvd & S Claiborne Ave
2/12/2013,2600 Palmer Ave
2/12/2013,S Claiborne Ave & Martin Luther
2/12/2013,I-10 W & West End Blvd Exit
2/13/2013,I-10 E & S Jeff Davis Overpass
2/15/2013,N Claiborne Ave & Orleans Ave
2/17/2013,Jefferson Ave & Tchoupitoulas St
2/17/2013,7200 Ring St
2/17/2013,N Claiborne Ave & Poland Ave
2/17/2013,Jefferson Ave & Tchoupitoulas St
2/18/2013,Euterpe St & Tchoupitoulas St
2/18/2013,Soraparu St & Tchoupitoulas St
2/19/2013,N Peters St & Saint Ferdinand St
2/20/2013,500 Bourbon St
2/21/2013,Crowder Blvd & I-10 E
2/21/2013,Holiday Dr & Mac Arthur Blvd
2/22/2013,1900 Tennessee St
2/22/2013,2800 Magazine St
2/23/2013,3200 Tchoupitoulas St
2/23/2013,Tchoupitoulas St & Washington Av
2/24/2013,Aline St & Tchoupitoulas St
2/24/2013,S Claiborne Ave & Nashville Ave
2/24/2013,Tchoupitoulas St & Washington Av
2/24/2013,2600 Tchoupitoulas St
2/24/2013,S Claiborne Ave & Short St
2/25/2013,S Claiborne Ave & Toledano St
2/27/2013,I-10 E & Read Blvd
2/27/2013,Franklin Ave Onramp & I-610 W
2/28/2013,Dryades St & General Pershing St
2/28/2013,Euterpe St & Tchoupitoulas St
3/1/2013,Veterans Blvd & West End Blvd
3/1/2013,Veterans Blvd & West End Blvd
3/1/2013,Veterans Blvd & West End Blvd
3/1/2013,Veterans Blvd & West End Blvd
3/2/2013,Canal Blvd & I-610 E
3/2/2013,Loyola Ave & Tulane Ave
3/2/2013,I-10 W & Metairie Rd
3/2/2013,Saint Charles Ave & Walnut St
3/3/2013,Canal Blvd & I-610 E
3/3/2013,700 Louisiana Ave
3/3/2013,2600 Saint Claude Ave
3/3/2013,Filmore Ave & Pontchartrain Blvd
3/3/2013,Canal St & Decatur St
3/4/2013,3300 Orleans Ave
3/4/2013,S Claiborne Ave & Pine St
3/5/2013,800 Conti St
3/6/2013,S Broad St & Tulane Ave
3/7/2013,Harmony St & Tchoupitoulas St
3/7/2013,Tchoupitoulas St & Washington Av
3/7/2013,2600 Tchoupitoulas St
3/8/2013,4th St & Tchoupitoulas St
3/8/2013,1500 Dave Dixon Dr
3/8/2013,9900 Dwyer Rd
3/8/2013,General De Gaulle Dr & Shirley D
3/8/2013,General De Gaulle Dr & Shirley D
3/9/2013,General De Gaulle Dr & Shirley D
3/9/2013,General De Gaulle Dr & Shirley D
3/9/2013,General De Gaulle Dr & Shirley D
3/9/2013,General De Gaulle Dr & Shirley D
3/9/2013,General De Gaulle Dr & Shirley D
3/9/2013,General De Gaulle Dr & Shirley D
3/9/2013,Garden Oaks Dr & General De Gaul
3/10/2013,5900 West End Blvd
3/10/2013,1900 Tchoupitoulas St
3/10/2013,1500 Canal St
3/10/2013,Calliope St & Saint Charles Ave
3/11/2013,Bullard & I-10 E
3/11/2013,3500 Garden Oaks Dr
3/12/2013,9th St & Tchoupitoulas St
3/13/2013,Tchoupitoulas Exit & US90B E
3/13/2013,100 Elk Pl
3/13/2013,Magazine St & Saint Mary St
3/14/2013,Franklin Exit & I-610 E
3/14/2013,Harrison Ave & West End Blvd
3/15/2013,6800 Pontchartrain Blvd
3/15/2013,2100 Orleans Ave
3/15/2013,300 N Peters St
3/15/2013,S Claiborne Ave & Jefferson Ave
3/15/2013,2000 Mardi Gras Blvd
3/16/2013,Harmony St & Tchoupitoulas St
3/17/2013,S Carrollton Ave & I-10 E
3/17/2013,Andrew Higgins Dr & Tchoupitoulasla
3/17/2013,Canal St & S Claiborne Ave
3/18/2013,3300 Canal St
3/18/2013,I-10 W & Metairie Rd
3/20/2013,Tchoupitoulas St & Washington Av
3/20/2013,9th St & Tchoupitoulas St
3/20/2013,I-10 W & Metairie Rd
3/20/2013,I-610 W & Saint Bernard Ave
3/21/2013,9th St & Tchoupitoulas St
3/21/2013,5900 West End Blvd
3/21/2013,2nd St & Tchoupitoulas St
3/21/2013,I-10 E & Louisa St
3/21/2013,N Robertson St & Tennessee St
3/22/2013,2600 Tchoupitoulas St
3/22/2013,General De Gaulle Dr & Westbank
3/22/2013,Tchoupitoulas St & Washington Av
3/23/2013,7th St & Tchoupitoulas St
3/23/2013,Cambronne St & S Claiborne Ave
3/23/2013,Elysian Fields Ave & Saint Claud
3/23/2013,Tchoupitoulas Exit & US90B E
3/23/2013,Broadway St & S Claiborne Ave
3/23/2013,Leake Ave & Leonidas St
3/24/2013,Tchoupitoulas St & Washington Av
3/24/2013,General De Gaulle Dr & L B Landr
3/25/2013,S Claiborne Ave & Louisiana Ave
3/26/2013,Harmony St & Tchoupitoulas St
3/26/2013,3400 S Carrollton Ave
3/27/2013,I-610 W & Marconi Dr
3/27/2013,4800 Canal St
3/27/2013,Bullard & I-10 W
3/28/2013,Magazine St & Robert St
3/28/2013,Tchoupitoulas St & Washington Av
3/28/2013,Canal St & S Claiborne Ave
3/28/2013,S Jefferson Davis Pkwy & Washing
3/29/2013,1800 Tchoupitoulas St
3/29/2013,1900 Tchoupitoulas St
3/29/2013,1900 Tchoupitoulas St
3/29/2013,1800 Tchoupitoulas St
3/29/2013,1900 Tchoupitoulas St
3/29/2013,28th St & Fleur De Lis Dr
3/29/2013,S Peters St & Poydras St
3/29/2013,3800 Saint Charles Ave
3/30/2013,Calliope St & Convention Center
3/30/2013,6000 West End Blvd
3/30/2013,I-10 W & Metairie Rd
3/30/2013,La Salle St & Valmont St
3/31/2013,1st St & Magazine St
3/31/2013,Baronne St & Napoleon Ave
3/31/2013,S Claiborne Ave & Gravier St
4/1/2013,Esplanade Ave & N Rampart St
4/2/2013,Elysian Fields Ave & Treasure St
4/2/2013,I-10 W & Metairie Rd
4/3/2013,7900 Breakwater Dr
4/3/2013,I-10 E & Read Blvd
4/3/2013,2800 Tchoupitoulas St
4/3/2013,4th St & Tchoupitoulas St
4/4/2013,Laurel St & Peniston St
4/4/2013,Magazine St & Washington Ave
4/4/2013,A P Tureaud Ave & N Galvez St
4/4/2013,Canal St & N Rampart St
4/4/2013,5400 Tchoupitoulas St
4/5/2013,S Carrollton Ave & Hickory St
4/5/2013,2800 Tchoupitoulas St
4/5/2013,Pleasant St & Tchoupitoulas St
4/5/2013,6000 West End Blvd
4/5/2013,S Claiborne Ave & Napoleon Ave
4/6/2013,Pleasant St & Tchoupitoulas St
4/6/2013,2200 Tulane Ave
4/7/2013,Annunciation St & Louisiana Ave
4/7/2013,Marconi Dr & Stilt St
4/7/2013,S Carrollton Ave & Washington Av
4/8/2013,I-10 W & West End Blvd Exit
4/8/2013,Magazine St & Philip St
4/8/2013,1500 Elysian Fields Ave
4/8/2013,S Galvez St & Perdido St
4/8/2013,Napoleon Ave & Prytania St
4/8/2013,N Claiborne Ave & Saint Roch Ave
4/9/2013,Chestnut St & Jackson Ave
4/9/2013,S Claiborne Ave & Felicity St
4/10/2013,Tchoupitoulas Exit & US90B E
4/10/2013,Felicity St & Tchoupitoulas St
4/10/2013,S Carrollton Ave & Saint Charles
4/10/2013,Bourbon St & Toulouse St
4/11/2013,Aline St & Prytania St
4/11/2013,2100 Tchoupitoulas St
4/11/2013,4th St & Tchoupitoulas St
4/11/2013,Elysian Fields Ave & I-610 E
4/11/2013,Aline St & Saint Charles Ave
4/11/2013,Clio St & Freret St
4/11/2013,I-10 E & Louisa St Exit
4/13/2013,3100 Tchoupitoulas St
4/13/2013,7th St & Saint Thomas St
4/13/2013,4500 Downman Rd
4/14/2013,Polk Ave & West End Blvd
4/14/2013,4100 Tchoupitoulas St
4/14/2013,Burgundy St & Ursulines Ave
4/14/2013,Chef Menteur Hwy & Downman Rd
4/15/2013,Chestnut St & Louisiana Ave
4/15/2013,Howard Ave & S Rendon St
4/15/2013,Elysian Fields Ave & Treasure St
4/16/2013,I-10 W & West End Blvd Exit
4/17/2013,Calliope St & Camp St
4/18/2013,6th St & Tchoupitoulas St
4/18/2013,Polk Ave & West End Blvd
4/19/2013,Tchoupitoulas St & Washington Av
4/20/2013,I-10 E & Louisa St
4/21/2013,Louisiana Ave & Tchoupitoulas St
4/21/2013,S Claiborne Ave & Pine St
4/21/2013,Canal St & S Carrollton Ave
4/22/2013,X US90B E
4/23/2013,N Claiborne Ave & Elysian Fields
4/24/2013,Desire St & N Galvez St
4/24/2013,S Galvez St & Tulane Ave
4/25/2013,Delachaise St & Magazine St
4/25/2013,N Carrollton Exit & I-10 W
4/26/2013,I-610 W & Wisner Blvd
4/27/2013,Chef Menteur Hwy & I-510 N
4/28/2013,N Rampart St & Saint Bernard Ave
4/29/2013,I-10 W & West End Blvd Exit
4/29/2013,I-10 W & Metairie Rd
5/1/2013,2500 Orleans Ave
5/1/2013,Amelia St & Magazine St
5/2/2013,4700 Babylon St
5/2/2013,Magazine St & Napoleon Ave
5/2/2013,N Broad St & Saint Philip St
5/2/2013,S Carrollton Ave & Fontainebleau
5/3/2013,Bennett St & Patterson
5/3/2013,Birch St & Lowerline St
