1/2/2013,Tchoupitoulas Exit & US90B E
1/5/2013,Bayou Sauvage & I-10
1/19/2013,X US90B W
1/22/2013,Annunciation St & General Pershi
1/27/2013,I-10 E & Louisa St Onramp
1/27/2013,St Charles Exit & US90B W
2/4/2013,Audubon Park Entranc & Saint Cha
2/12/2013,I-10 W & West End Blvd Exit
2/21/2013,Holiday Dr & Mac Arthur Blvd
2/27/2013,Franklin Ave Onramp & I-610 W
3/3/2013,Filmore Ave & Pontchartrain Blvd
3/13/2013,Tchoupitoulas Exit & US90B E
3/14/2013,Franklin Exit & I-610 E
3/22/2013,General De Gaulle Dr & Westbank
3/23/2013,Tchoupitoulas Exit & US90B E
3/23/2013,Leake Ave & Leonidas St
3/27/2013,I-610 W & Marconi Dr
3/28/2013,S Jefferson Davis Pkwy & Washing
4/8/2013,I-10 W & West End Blvd Exit
4/10/2013,Tchoupitoulas Exit & US90B E
4/11/2013,I-10 E & Louisa St Exit
4/16/2013,I-10 W & West End Blvd Exit
4/22/2013,X US90B E
4/26/2013,I-610 W & Wisner Blvd
4/29/2013,I-10 W & West End Blvd Exit
5/3/2013,John Churchill Chase & Tchoupito
5/6/2013,St Charles Exit & US90B W
5/14/2013,I-10 E & Morrison Exit
5/24/2013,De Saix Blvd & Wisner Blvd
5/29/2013,O'Keefe Exit & US90B E
5/30/2013,Governor Nicholls St & N Peters
6/8/2013,Martin Luther King J & Simon Bol
6/22/2013,I-10 W & West End Blvd Exit
6/23/2013,Tchoupitoulas Exit & US90B W
6/24/2013,Gen De Gaulle Exit & US90B W
7/5/2013,I-10 E & Iris Bayou
7/9/2013,5600 Magazine St
7/22/2013,Gen De Gaulle Exit & US90B W
7/30/2013,S Jefferson Davis Pkwy & Washing
8/3/2013,Tchoupitoulas Exit & US90B E
8/6/2013,Gen De Gaulle Exit & US90B W
8/8/2013,Poeyfarre St & Tchoupitoulas St
8/9/2013,I-10 W & West End Blvd Exit
8/9/2013,I-10 E & Morrison Rd Exit
8/17/2013,Chef Menteur Bridge & Downman Rd
8/18/2013,S Carrollton Exit & I-10 W Onram
8/21/2013,Calliope St & Tchoupitoulas Exit
8/30/2013,Tchoupitoulas Exit & US90B E
8/30/2013,I-10 W & West End Blvd Exit
9/1/2013,I-10 E & US90B E
9/9/2013,Earhart Blvd & Mistletoe St
9/14/2013,US90B W & Gen De Gaulle Exit
9/15/2013,US90B E & Camp St
9/15/2013,I-10 W & West End Blvd Exit
9/25/2013,City Park Ave & City Park Exit
9/27/2013,I-10 E & Morrison Rd Exit
10/2/2013,I-10 E & I-510 S Exit
10/3/2013,Tchoupitoulas St & 2nd St
10/5/2013,I-10 E & I-510 S Exit
10/11/2013,I-10 W & West End Blvd Exit
10/23/2013,I-10 E & Poydras St Exit
10/26/2013,X Life Center Dr
10/27/2013,US90B E & Camp St Exit
11/12/2013,I-10 E & Michoud Blvd
11/13/2013,Tchoupitoulas St & Upperline St
11/15/2013,Canal St & Dauphine St
12/5/2013,US90B E & Annunciation St
12/5/2013,US90B E & Carondelet St
12/6/2013,N Peters St & Barracks St
12/13/2013,General De Gaulle Dr & Westbank Expy In
12/18/2013,I-10 E & Carrollton Ave Onramp
12/20/2013,Tchoupitoulas Exit & Calliope St
12/28/2013,Esplanade Ave & Verna St
12/28/2013,Esplanade Ave & Verna St
12/29/2013,Tchoupitoulas St & 2nd St
