7/29/2014,Tchoupitoulas St & Louisiana Ave
2/24/2014,1200 Saint Mary St
4/18/2014,St Charles Ave & S Carrollton Ave
1/29/2014,Magazine St & 6th St
1/29/2014,Saint Charles Ave & Euterpe St
1/29/2014,Panola St & Broadway St
1/29/2014,2800 Magazine St
2/25/2014,2500 N Derbigny St
1/29/2014,3100 Magazine St
7/30/2014,Tchoupitoulas St & Aline St
7/30/2014,Tchoupitoulas St & Louisiana Ave
7/30/2014,Constantinople St & Saint Charles Ave
7/30/2014,Pitt St & Robert St
7/30/2014,Magazine St & Washington Ave
12/22/2014,N Broad St & Lapeyrouse St
10/25/2014,4th St & Rousseau St
4/19/2014,Tchoupitoulas St & 4th St
7/31/2014,Sixth St & Chippewa St
7/31/2014,Camp St & St Mary St
7/31/2014,1500 Religious St
7/31/2014,S Claiborne Ave & Napoleon Ave
4/19/2014,1800 Tchoupitoulas St
1/8/2014,Calliope St & Camp St
1/5/2014,4200 Magazine St
4/19/2014,S Rampart St & Gravier St
8/1/2014,1900 Tchoupitoulas St
8/1/2014,1800 Tchoupitoulas St
8/1/2014,1900 Tchoupitoulas St
8/1/2014,1900 Tchoupitoulas St
1/8/2014,Saint Charles Ave & Pine St
8/1/2014,1900 Tchoupitoulas St
8/1/2014,General De Gaulle Dr & L B Landry Ave
8/1/2014,700 Saint Louis St
8/1/2014,Gen De Gaulle Dr & Indiana St
8/1/2014,1300 Convention Center Blvd
2/26/2014,3600 Magazine St
2/26/2014,I-10 E & Read Blvd
5/29/2014,6100 West End Blvd
8/2/2014,Saint Charles Ave & Cherokee St
8/2/2014,1600 Religious St
8/2/2014,2800 Tchoupitoulas St
4/20/2014,Tchoupitoulas St & Harmony St
8/2/2014,Canal St & S Carrollton Ave
4/20/2014,200 N Carrollton Ave
8/2/2014,Tulane Ave & S Prieur St
8/2/2014,Camp Pl & Race St
1/15/2014,Napoleon Ave & Magazine St
8/2/2014,800 Lakeshore Dr
10/24/2014,Macarthur Blvd & General De Gaulle Dr
8/3/2014,3600 Magazine St
8/3/2014,I10 E & Chef Menteur Blvd
8/3/2014,Andrew Higgins Dr & S Peters St
12/17/2014,7900 Olive St
1/15/2014,Maple St & Broadway St
4/20/2014,Franklin Ave & St Roch Ave
9/20/2014,Calliope St & Annunciation St
4/21/2014,Napoleon Ave & S Roman St
4/21/2014,N Claiborne Ave & Ursulines Ave
4/21/2014,Basin St & Saint Louis St
8/4/2014,Calliope St & Magazine St
1/15/2014,Jefferson Ave & Danneel St
1/30/2014,5200 Magazine St
12/1/2014,1200 Milan St
1/15/2014,100 Royal St
1/15/2014,S Claiborne Ave & Washington Ave
12/1/2014,Canal St & S Rendon St
1/30/2014,Marconi Dr & Zachary Taylor Dr
2/26/2014,Canal St & Baronne St
8/5/2014,Magazine St & State St
8/5/2014,Washington Ave & Prytania St
8/5/2014,2100 Louisiana Ave
12/1/2014,S Claiborne Ave & Martin Luther King Jr Blvd
2/27/2014,3200 Saint Charles Ave
10/23/2014,Tchoupitoulas Exit & Avery Alexander Expy E
4/22/2014,Saint Charles Ave & Milan St
8/5/2014,Florida Blvd & Rosemary Pl
10/23/2014,Florence Ave & General Meyer Ave
10/23/2014,I-10 E Onramp & Elysian Fields Ave
8/6/2014,Camp Pl & Felicity St
8/6/2014,Aline St & Magazine St
8/6/2014,I-10 W & S Carrollton Ave
2/9/2014,Calliope St & Tchoupitoulas St
1/30/2014,4900 Warren Dr
