DateTime,Address
4/2/2011,Andrew Higgins Blvd & Magazine S
5/22/2011,Calliope St & Carondelet St
4/2/2011,300 North Rampart St
5/8/2011,Canal St & Royal St
6/10/2011,Tchoupitoulas St & Toledano St
1/1/2011,500 Canal St
1/1/2011,Behrman Hwy & Florence Ave
1/1/2011,7500 Chef Menteur Hwy
1/1/2011,Gen De Gaulle Dr & L B Landry Av
1/2/2011,S Claiborne Ave & Fern St
1/2/2011,S Carrollton Ave & Cleveland Ave
1/2/2011,900 Toulouse St
1/3/2011,Camp St & Canal St
1/3/2011,Burgundy St & Canal St
1/4/2011,I-10 W & West End Blvd Exit
1/4/2011,Acacia St & Clematis St
1/5/2011,Basin St & Bienville St
1/6/2011,Soraparu St & Tchoupitoulas St
1/6/2011,S Claiborne Ave & Louisiana Ave
1/6/2011,S Broad St & Canal St
1/7/2011,2200 Canal St
1/7/2011,Canal St & Treme St
1/8/2011,1700 Gentilly Boulevard
1/8/2011,A P Tureaud Ave & N Johnson St
1/8/2011,I-610 W & St Bernard Ave
1/9/2011,Burgundy St & Toulouse St
1/9/2011,O'Keefe Exit & Us90B W
1/9/2011,Tchoupitoulas Exit & Us90B E
1/9/2011,N Claiborne Ave & Esplanade Ave
1/9/2011,Gen De Gaulle Dr & Westbank Expw
1/9/2011,1100 North Rampart St
1/9/2011,Tchoupitoulas Exit & Us90B E
1/10/2011,N Claiborne Ave & Esplanade Ave
1/11/2011,Leake Ave & Maple St
1/11/2011,5000 Canal St
1/11/2011,4500 Bienville St
1/11/2011,3100 North Robertson St
1/12/2011,9200 Airline Hwy
1/12/2011,1200 Basin St
1/12/2011,S Carrollton Ave & Walmsley Ave
1/12/2011,1000 City Park Ave
1/12/2011,I-10 W & Jeff Davis Overpass
1/13/2011,1800 Napoleon Ave
1/13/2011,Chef Menteur Hwy & Louisa Dr
1/13/2011,S Claiborne Ave & Josephine St
1/14/2011,Louisiana Ave & St Charles Ave
1/14/2011,Elysian Fields Ave & I-10 W
1/15/2011,Bienville St & N Broad St
1/15/2011,300 St Joseph St
1/15/2011,Andrew Higgins Blvd & Tchoupitoulas
1/15/2011,I-10 W & I-610 W
1/15/2011,4Th St & St Charles Ave
1/15/2011,Gentilly Blvd & Lafaye St
1/15/2011,2000 Mardi Gras Boulevard
1/15/2011,500 Bourbon St
1/16/2011,1100 L B Landry Ave
1/16/2011,S Claiborne Ave & Washington Ave
1/16/2011,Canal St & Dauphine St
1/16/2011,S Carrollton Ave & Palmyra St
1/16/2011,3400 Gentilly Boulevard
1/16/2011,Andrew Higgins Blvd & Tchoupitoulas
1/16/2011,Cohn St & Leonidas St
1/16/2011,100 Dauphine St
1/16/2011,I-10 W & St Bernard Ave
1/16/2011,Gen De Gaulle Dr & Holiday Dr
1/17/2011,S Carrollton Ave & Willow St
1/17/2011,Crowder Blvd & I-10 W
1/18/2011,Carrollton Airline Exit & I-10 W
1/19/2011,400 Royal St
1/19/2011,I-10 E & I-510 N
1/19/2011,5800 Louisville St
1/19/2011,2100 Orleans Ave
1/19/2011,La Salle St & Poydras St
1/20/2011,Burthe St & Pine St
1/20/2011,Gen Meyer Ave & Odeon Ave
1/20/2011,City Park Ave & I-10 W
1/20/2011,Delachaise St & St Charles Ave
1/21/2011,S Carrollton Ave & Tulane Ave
1/21/2011,Milan St & Prytania St
1/21/2011,Delachaise St & St Charles Ave
1/21/2011,St Joseph St & Tchoupitoulas St
1/22/2011,Joseph St & Tchoupitoulas St
1/22/2011,Annunciation St & Calliope St
1/22/2011,Short St & Washington Ave
1/22/2011,Baronne St & Common St
1/22/2011,S Peters St & Poydras St
1/22/2011,City Park Ave & I-10 E
1/23/2011,S Solomon St & Tulane Ave
1/23/2011,N Jeff Davis Pkwy & Toulouse St
1/23/2011,Pontchartrain Blvd & W Robert E
1/23/2011,Carrollton Airline Exit & I-10 W
1/24/2011,S Claiborne Ave & Jackson Ave
1/24/2011,Freret St & Louisiana Ave
1/24/2011,Florida Ave & I-10 W
1/25/2011,1700 Louisiana Ave
1/26/2011,200 Harrison Ave
1/26/2011,L B Landry Ave & Newton St
1/26/2011,Marconi Dr & Robert E Lee Blvd
1/26/2011,3400 Earhart Boulevard
1/27/2011,5000 Canal Boulevard
1/27/2011,900 Jefferson Ave
1/27/2011,Canal St & S Jeff Davis Pkwy
1/27/2011,1100 St Charles Ave
1/27/2011,Basin St & Canal St
1/27/2011,Baronne St & Howard Ave
1/27/2011,Canal St & S Salcedo St
1/27/2011,5000 Canal Boulevard
1/27/2011,2500 Canal St
1/27/2011,S Claiborne Ave & Milan St
1/28/2011,Conti St & Dauphine St
1/28/2011,Jefferson Ave & Tchoupitoulas St
1/28/2011,S Claiborne Ave & Fern St
1/28/2011,Veterans Hwy & West End Blvd
1/29/2011,Calliope St & Carondelet St
1/29/2011,400 North Carrollton Ave
1/29/2011,Us 90B/Gen De Gualle
1/29/2011,Calliope St & Carondelet St
1/29/2011,Calliope St & Carondelet St
1/29/2011,Calliope St & Carondelet St
1/29/2011,Calliope St & Carondelet St
1/29/2011,Birch St & Joliet St
1/29/2011,Felicity St & Tchoupitoulas St
1/30/2011,100 West Harrison Ave
1/30/2011,Canal St & S St Patrick St
1/30/2011,St Joseph St & Tchoupitoulas St
1/30/2011,Canal St & S Jeff Davis Pkwy
1/31/2011,N Claiborne Ave & Elysian Fields
1/31/2011,Canal St & N Solomon St
2/1/2011,Jackson Ave & Prytania St
2/2/2011,S Roman St & Tulane Ave
2/2/2011,John Churchill Chase & Tchoupito
2/2/2011,1200 Louisiana Ave
2/3/2011,Canal St & S Rampart St
2/3/2011,600 Tchoupitoulas St
2/3/2011,Canal St & S Rampart St
2/3/2011,Jefferson Ave & St Charles Ave
2/3/2011,Bienville St & Chartres St
2/4/2011,X Ccc Out 
2/4/2011,3900 Canal St
2/4/2011,De Saix Blvd & Moss St
2/4/2011,400 St Charles Ave
2/4/2011,Lafitte St & N White St
2/4/2011,1000 Annunciation St
2/5/2011,3200 Canal St
2/5/2011,Bienville St & Dauphine St
2/5/2011,S Liberty St & Napoleon Ave
2/5/2011,S Carrollton Ave & Neron Pl
2/5/2011,Tchoupitoulas St & Washington Av
2/6/2011,Basin St & N Robertson St
2/6/2011,2ND ST & ROUSSEAU ST
2/6/2011,Arts St & Gentilly Blvd
2/6/2011,Jackson Ave & St Charles Ave
2/7/2011,Canal St & Dauphine St
2/8/2011,Jackson Ave & Laurel St
2/9/2011,Jena St & Magazine St
2/9/2011,S Peters St & St Joseph St
2/10/2011,Bullard Exit & I-10 E
2/10/2011,Cleveland Ave & S St Patrick St
2/11/2011,Broadway St & Hampson St
2/11/2011,Apple St & Fontainebleau Dr
2/11/2011,Canal St & N Jeff Davis Pkwy
2/11/2011,1400 South Carrollton Ave
2/11/2011,S Carrollton Ave & Olive St
2/11/2011,9Th St & Magazine St
2/12/2011,St Charles Ave & St Joseph St
2/12/2011,S Jeff Davis Pkwy & Tulane Ave
2/12/2011,Filmore Ave & Gen Diaz St
2/12/2011,Carondelet St & Thalia St
2/13/2011,600 Basin St
2/13/2011,4700 Canal St
2/13/2011,I-610 E & St Bernard Ave
2/14/2011,I-10 E & Louisa St
2/14/2011,200 Bourbon St
2/15/2011,Burgundy St & Conti St
2/15/2011,Calhoun St & Freret St
2/15/2011,Canal St & Dauphine St
2/15/2011,S Broad St & Tulane Ave
2/16/2011,Gen De Gaulle Dr & Westbank Expw
2/16/2011,Polk Ave & West End Blvd
