NOPD_Item,Type_,TypeText,MapX,MapY,TimeCreate,TimeDispatch,TimeClosed,Disposition,DispositionText,BLOCK_ADDRESS,Zip
J2852914,98,DRIVING WHILE UNDER INFLUENCE,3684739,540363,10/23/2014 01:42:32,10/23/2014 01:44:31,10/23/2014 04:41:37,NAT,Necessary Action Taken,I-10 E Onramp & Elysian Fields Ave,70117
H0678914,98,DRIVING WHILE UNDER INFLUENCE,3679607,523439,8/6/2014 02:05:30,,8/6/2014 03:15:47,NAT,Necessary Action Taken,Camp Pl & Felicity St,
H0685414,98,DRIVING WHILE UNDER INFLUENCE,3674460,519404,8/6/2014 03:39:08,8/6/2014 03:39:08,8/6/2014 05:05:45,NAT,Necessary Action Taken,Aline St & Magazine St,70115
H0687614,98,DRIVING WHILE UNDER INFLUENCE,3668953,535909,8/6/2014 04:08:30,8/6/2014 04:08:30,8/6/2014 05:23:51,NAT,Necessary Action Taken,I-10 W & S Carrollton Ave,70119
B1063514,98,DRIVING WHILE UNDER INFLUENCE,3680408,526408,2/9/2014 04:50:28,,2/9/2014 04:51:36,RTF,REPORT TO FOLLOW,US90B E & Camp St,70130
B1058514,98,DRIVING WHILE UNDER INFLUENCE,3681989,525175,2/9/2014 03:20:50,,2/9/2014 04:13:47,NAT,Necessary Action Taken,Calliope St (6C01) & Tchoupitoulas St,70130
A3702814,98,DRIVING WHILE UNDER INFLUENCE,3713354,557289,1/30/2014 12:00:13,,1/30/2014 12:34:33,NAT,Necessary Action Taken,049XX Warren Dr,70127
H0818514,98,DRIVING WHILE UNDER INFLUENCE,3682201,523720,8/7/2014 00:01:33,,8/7/2014 01:26:38,NAT,Necessary Action Taken,Euterpe St (6C01) & Tchoupitoulas St,
H0820914,98,DRIVING WHILE UNDER INFLUENCE,3666408,517160,8/7/2014 00:18:01,,8/7/2014 01:23:27,NAT,Necessary Action Taken,Tchoupitoulas St & Jefferson Ave,70115
H0831314,98,DRIVING WHILE UNDER INFLUENCE,3681663,526417,8/7/2014 02:37:18,,8/7/2014 03:44:17,NAT,Necessary Action Taken,Annunciation St & Poeyfarre St,70130
H0834214,98,DRIVING WHILE UNDER INFLUENCE,3668419,540256,8/7/2014 03:24:38,8/7/2014 03:24:38,8/7/2014 05:07:16,NAT,Necessary Action Taken,049XX Canal St,70119
H0839514,98,DRIVING WHILE UNDER INFLUENCE,3680715,525946,8/7/2014 05:12:40,8/7/2014 05:12:40,8/7/2014 07:24:15,NAT,Necessary Action Taken,Calliope St (6E04) & Magazine St,70130
