1/1/11,500 Canal St,29.9518664,-90.0679995
1/1/11,Behrman Hwy & Florence Ave,29.926412,-90.034004
1/1/11,7500 Chef Menteur Hwy,30.0121093,-89.9996231
1/1/11,Gen De Gaulle Dr & L B Landry Av,29.930562,-90.041681
1/2/11,S Claiborne Ave & Fern St,29.9544809,-90.1189807
1/2/11,S Carrollton Ave & Cleveland Ave,29.9735984,-90.1014431
1/2/11,900 Toulouse St,29.9584144,-90.0672706
1/3/11,Camp St & Canal St,29.9525012,-90.0682794
1/3/11,Burgundy St & Canal St,29.9550853,-90.0716906
1/5/11,Basin St & Bienville St,29.9578865,-90.0720425
1/6/11,S Claiborne Ave & Louisiana Ave,29.940824,-90.097574
1/6/11,S Broad St & Canal St,29.9655313,-90.0875247
1/7/11,2200 Canal St,29.9625159,-90.083064
1/7/11,Canal St & Treme St,29.9568,-90.074617
1/8/11,1700 Gentilly Boulevard,29.9835646,-90.0767226
1/8/11,A P Tureaud Ave & N Johnson St,29.9773171,-90.0671836
1/8/11,I-610 W & St Bernard Ave,29.9926822,-90.077398
1/9/11,Burgundy St & Toulouse St,29.9590389,-90.0681751
1/9/11,N Claiborne Ave & Esplanade Ave,29.9692147,-90.0684981
1/9/11,1100 North Rampart St,29.963721,-90.065188
1/10/11,N Claiborne Ave & Esplanade Ave,29.9692147,-90.0684981
1/11/11,Leake Ave & Maple St,29.9464335,-90.1351615
1/11/11,5000 Canal St,29.9808641,-90.1101232
1/11/11,4500 Bienville St,29.979182,-90.1035713
1/11/11,3100 North Robertson St,29.9716439,-90.0429717
1/12/11,9200 Airline Hwy,29.972157,-90.121239
1/12/11,1200 Basin St,29.9564416,-90.0733126
1/12/11,S Carrollton Ave & Walmsley Ave,29.9587961,-90.1172672
1/12/11,1000 City Park Ave,29.98321,-90.09674
1/12/11,I-10 W & Jeff Davis Overpass,29.9763987,-90.0907571
1/13/11,1800 Napoleon Ave,29.928533,-90.1024345
1/13/11,Chef Menteur Hwy & Louisa Dr,30.005256,-90.036321
1/13/11,S Claiborne Ave & Josephine St,29.9458311,-90.0891941
1/14/11,Louisiana Ave & St Charles Ave,29.9283044,-90.0915347
1/14/11,Elysian Fields Ave & I-10 W,44.1985771,-93.673838
1/15/11,Bienville St & N Broad St,29.9673485,-90.085927
1/15/11,300 St Joseph St,29.9433426,-90.0676003
1/15/11,Andrew Higgins Blvd & Tchoupitoulas,29.9421961,-90.0674199
1/15/11,I-10 W & I-610 W,29.996243,-90.0454007
1/15/11,4Th St & St Charles Ave,29.931482,-90.0851826
1/15/11,Gentilly Blvd & Lafaye St,30.0029634,-90.0482792
1/15/11,2000 Mardi Gras Boulevard,29.9342379,-90.0358234
1/15/11,500 Bourbon St,29.9570955,-90.0668641
1/16/11,1100 L B Landry Ave,29.9440737,-90.0407816
1/16/11,S Claiborne Ave & Washington Ave,29.9423609,-90.0944601
1/16/11,S Carrollton Ave & Palmyra St,29.972955,-90.1024069
1/16/11,3400 Gentilly Boulevard,30.001672,-90.056073
1/16/11,Andrew Higgins Blvd & Tchoupitoulas,29.9421961,-90.0674199
